[ 2025-10-12 21:29:10,432 ] 20  root - INFO - Initiate the data ingestion
[ 2025-10-12 21:29:21,932 ] 60  root - INFO - Performed train test split on the dataframe
[ 2025-10-12 21:29:21,933 ] 61  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 21:29:21,933 ] 65  root - INFO - Exporting train and test file path.
[ 2025-10-12 21:29:21,972 ] 69  root - INFO - Exported train and test file path.
[ 2025-10-12 21:29:21,973 ] 22  root - INFO - Data Initiation Completed
[ 2025-10-12 21:29:21,977 ] 26  root - INFO - Initiate the data Validation
[ 2025-10-12 21:29:22,016 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:29:22,016 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:29:22,016 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:29:22,016 ] 31  root - INFO - No of columns in dataframe31
